,,,A,C,D,E,F,H,I,M,Cluster,CON21,C. elegans,Fly/CON21,Fly,,Fly Gene Name,Fly Gene Description,DBD Family,Mosquito,Human,Mouse,Honeybee,Zebrafish,Silkworm
LOC124202598,XP_046454910.1,inositol 1%2C4%2C5-trisphosphate receptor-like isoform X1,152,972,996,311,472,341,292,130,,,,,,,,,,,,,,,
LOC124202599,XP_046454914.1,FUN14 domain-containing protein 1A-like isoform X2,405,1322,4104,2180,4363,1120,1071,845,,g18561,,FBgn0032200,,,CG5676,0,,,,,,,
LOC124202600,XP_046454916.1,chromatin complexes subunit BAP18-like,325,2006,4119,1156,1209,542,542,314,,g18558,Y43F8C.6a.1,FBgn0052831,FBpp0079798,FBgn0052831,CG33695,0,,XP_001652098.2,ENSP00000411851.2,ENSMUSP00000104219.3,XP_006571544.1,,XP_004933184.1
LOC124202602,XP_046454917.1,probable sodium/potassium/calcium exchanger CG1090,1140,135,1666,1879,4155,1319,974,1148,,g18555,F35C12.2a.1,FBgn0037238,,,CG1090,0,,,ENSP00000433302.1,ENSMUSP00000125012.2,XP_026297409.1,,
LOC124202603,XP_046454918.1,eukaryotic translation initiation factor 4E type 2-like isoform X1,1107,3368,4476,1507,2351,1208,1171,1025,,g18556,,FBgn0053100,,,eIF4EHP,eukaryotic translation initiation factor 4E homologous protein,,,ENSP00000386996.1,ENSMUSP00000075699.6,,,
LOC124202604,XP_046454920.1,melanopsin-like,0,0,6,33,186,89,81,8,,g19442,,FBgn0003250,,,Rh4,Rhodopsin 4,,,,,,,
LOC124202605,XP_046454921.1,repetitive proline-rich cell wall protein 2-like,2,6,16,4,768,48,47,18,,g18169,,,,,,,,,,,,,
LOC124202607,XP_046454922.1,innexin unc-9-like,0,3,20,36,132,50,68,3,,g18999,,FBgn0027107,,,Inx6,Innexin 6,,,,,,,
LOC124202608,XP_046454924.1,telomere-associated protein RIF1-like isoform X1,8609,10935,9343,1300,1769,1102,1499,4875,,g3606,,FBgn0020294,FBpp0086441,FBgn0050085,ko,knockout,,XP_021709369.1,ENSP00000416123.2,ENSMUSP00000108313.3,XP_026300732.1,,XP_021206477.1
LOC124202617,XP_046454925.1,opsin-2-like,1,1,26,57,195,114,84,2,,,,,FBpp0075752,FBgn0036260,Rh7,Rhodopsin 7,,,,,,,
LOC124202618,XP_046454926.1,alpha-(1%2C3)-fucosyltransferase C-like,5,2,432,233,35,103,160,23,,g17776,K08F8.3.2,FBgn0044872,,,FucTC,"alpha1,3-fucosyltransferase C",,,,,,,
LOC124202625,XP_046454929.1,uncharacterized protein LOC124202625,1,12,9,5,4,3,4,6,,g15666,,FBgn0051643,FBpp0308391,FBgn0033249,CG31643,0,,,,,,,
LOC124202627,XP_046454933.1,uncharacterized protein LOC124202627,0,0,0,0,0,0,0,0,,g2823,,,,,,,,,,,,,
LOC124202628,XP_046454930.1,uncharacterized protein LOC124202628,20,63,74,11,29,8,10,31,,,,,,,,,,,,ENSMUSP00000128732.3,,,
LOC124202629,XP_046454931.1,integrin beta-PS-like,45,94,495,716,1003,208,136,109,,g19088,ZK1058.2.1,FBgn0004657,FBpp0309121,FBgn0004657,mys,myospheroid,,XP_021695415.1,ENSP00000388694.1,ENSMUSP00000021028.5,XP_026299857.1,,XP_021202726.1
LOC124202630,XP_046454932.1,ATP synthase subunit alpha%2C mitochondrial-like,9003,32672,86285,60928,130781,37638,35318,26101,,g19086,H28O16.1a.1,FBgn0011211,FBpp0071794,FBgn0011211,blw,bellwether,,XP_001655906.1,ENSP00000282050.2,ENSMUSP00000026495.9,XP_392639.1,,NP_001040233.1
LOC124202631,XP_046454934.1,troponin C%2C isoallergen Bla g 6.0101-like,8,58,2621,6434,16885,4989,2483,922,,g19089,ZK673.7.1,FBgn0013348,FBpp0301709,FBgn0013348,TpnC41C,Troponin C at 41C,,XP_001652071.1,,,NP_001305411.1,,NP_001091793.1
LOC124202632,XP_046454937.1,inositol hexakisphosphate kinase 1-like,78,329,1100,635,1479,312,372,366,,g19797,,FBgn0034644,FBpp0071578,FBgn0034644,CG10082,0,,XP_021706103.1,,,XP_016769435.1,,XP_037868354.1
LOC124202633,XP_046454939.1,uncharacterized protein LOC124202633,52,86,246,173,1152,497,543,818,,g19818,,FBgn0034644,,,CG10082,0,,,,,,,
LOC124202634,XP_046454940.1,F-box/LRR-repeat protein 4-like isoform X1,256,130,215,86,164,77,38,372,,,,,,,,,,,,,,,
LOC124202635,XP_046454942.1,glutamate receptor 3-like,0,1,5,3,22,28,19,0,,g19824,,FBgn0038840,,,Grik,0,,,,,,,
LOC124202636,XP_046454946.1,transforming growth factor-beta-induced protein ig-h3-like,1,0,5,57,255,273,294,3,,g3086,,FBgn0263038,,,CG43333,0,,,,,,,
LOC124202637,XP_046454943.1,uncharacterized protein LOC124202637,0,0,4,5,1,64,45,2646,,g19825,T16A1.2.1,,,,,,,,,,,,
LOC124202638,XP_046454944.1,neurotrophin 1-like isoform X1,41,104,139,53,638,98,115,88,,g19794,,,,,,,,,,,,,
LOC124202639,XP_046454947.1,protein spaetzle-like,0,4,2,3,492,59,42,24,,g19783,,FBgn0261526,,,NT1,Neurotrophin 1,,,,,,,
LOC124202640,XP_046454948.1,uncharacterized protein LOC124202640,16,11,10,6,12,1,3,39,,g19821,,,,,,,,,,,,,
LOC124202645,XP_046454984.1,solute carrier family 2%2C facilitated glucose transporter member 3-like,19,0,99,309,1576,267,252,172,,g1336,,FBgn0033047,FBpp0085319,FBgn0033047,CG7882,0,,XP_021699786.1,,,XP_016770361.2,,XP_037869293.1
LOC124202646,XP_046454949.1,Krueppel-like factor 3,47,1753,2953,1053,1827,728,769,320,,g2210,,,FBpp0292301,FBgn0261705,CG42741,0,,XP_021706486.1,ENSP00000417303.1,ENSMUSP00000128429.2,XP_006566997.1,,XP_021206693.1
LOC124202650,XP_046454950.1,plastin-1-like isoform X1,2011,7097,22199,9782,11192,3302,4566,2697,,g19754,,FBgn0024238,FBpp0074215,FBgn0024238,Fim,Fimbrin,,XP_021713405.1,ENSP00000445339.2,ENSMUSP00000091317.3,,,XP_004923511.1
LOC124202651,XP_046454955.1,DDB1- and CUL4-associated factor 11-like isoform X2,648,2239,3926,1344,1473,847,914,773,,g19751,D2030.9d.1,FBgn0034527,FBpp0085540,FBgn0034527,CG9945,0,,XP_001652768.1,ENSP00000415556.4,ENSMUSP00000114211.3,XP_026295932.1,,
LOC124202652,XP_046454956.1,glutamate receptor ionotropic%2C kainate glr-3-like,45,12,29,10,51,18,19,59,,g19760,,FBgn0264493,,,rdx,roadkill,,,,,,,
LOC124202653,XP_046454957.1,keratin%2C type II cytoskeletal 1-like,7716,10185,11590,1801,2123,1050,3257,4926,,g19749,,FBgn0020306,,,dom,domino,,,,,,,
LOC124202654,XP_046454958.1,origin recognition complex subunit 5-like,664,1805,1459,279,283,106,143,280,,g19753,,FBgn0015271,,,Orc5,Origin recognition complex subunit 5,,,,,,,
LOC124202655,XP_046454962.1,uncharacterized protein LOC124202655,2,0,1,2,3,1,3,3,,,,,,,,,,,,,,,
LOC124202656,XP_046454960.1,uncharacterized protein LOC124202656,397,216,267,127,256,85,25,377,,,,,,,,,,,,,,,
LOC124202657,XP_046454961.1,glutamate [NMDA] receptor subunit 1-like isoform X1,97,285,515,94,104,72,167,107,,g19750,,FBgn0051201,,,GluRIIE,Glutamate receptor IIE,,,,,,,
LOC124202658,XP_046454964.1,uncharacterized protein LOC124202658,1300,74,109,33,98,49,23,710,,g19758,,FBgn0264493,,,rdx,roadkill,,,,,,,
LOC124202659,XP_046454966.1,dnaJ homolog subfamily C member 25 homolog,1401,2339,5387,2191,2454,473,1023,901,,g19752,B0035.2.1,FBgn0030658,FBpp0073862,FBgn0030658,CG7872,0,,XP_001656359.2,ENSP00000320650.3,ENSMUSP00000092680.4,,,NP_001157385.1
LOC124202660,XP_046454967.1,transmembrane protein 243-like,94,346,959,274,368,193,124,123,,g19755,,,,,,,,,ENSP00000398083.1,ENSMUSP00000111022.2,,,
LOC124202663,XP_046454968.1,uncharacterized protein LOC124202663,3,18,114,19,15,21,6,1,,,F55H2.7.1,,,,,,,,,,,,
LOC124202664,XP_046454972.1,phosphatidylinositol 4%2C5-bisphosphate 3-kinase catalytic subunit alpha isoform-like,2247,6816,11387,3355,3797,1982,1844,1319,,g3418,B0334.8a.1,FBgn0015279,FBpp0083348,FBgn0015279,Pi3K92E,Phosphatidylinositol 3-kinase 92E,,,ENSP00000263967.3,ENSMUSP00000029201.8,,,XP_021209096.2
LOC124202665,XP_046454970.1,mucin-2-like,14989,42,221,6,116,2,5,3,,g19880,,,,,,,,,,,,,
LOC124202666,XP_046454971.1,FAS-associated factor 1-like,1486,3505,7257,2687,3756,1211,1273,1503,,g19886,F48A11.5c.1,FBgn0034068,FBpp0308803,FBgn0034068,casp,caspar,,XP_021697939.1,ENSP00000379457.2,ENSMUSP00000099785.5,XP_392750.1,,XP_037873676.1
LOC124202667,XP_046454973.1,metal cation symporter ZIP14-like,456,892,1976,1158,1396,934,680,683,,g19887,,FBgn0036461,,,Zip71B,Zinc/iron regulated transporter-related protein 71B,,,,,,,
LOC124202668,XP_046454976.1,uncharacterized protein LOC124202668 isoform X2,3,13,1295,886,1231,256,253,101,,g19883,,FBgn0029922,,,CG14431,0,,,,,,,
LOC124202669,XP_046454977.1,hepatitis A virus cellular receptor 1-like,19922,329,292,11,20,0,1,6,,g19876,,,,,,,,,,,,,
LOC124202670,XP_046454978.1,translation initiation factor IF-2-like,182,15290,517,3,8,9,7,69,,g19875,M70.3a.1,,,,,,,,,,,,
LOC124202671,XP_046454979.1,uncharacterized protein LOC124202671 isoform X1,4,1,18,42,146,487,438,441,,g19873,,,,,,,,,,,,,
LOC124202672,XP_046454985.1,mRNA-capping enzyme-like,4,197,333,194,412,766,875,944,,g3417,,FBgn0030556,,,mRNA-cap,mRNA-capping-enzyme,,,,,,,
LOC124202673,XP_046454981.1,uncharacterized protein LOC124202673,17,1,11,9,263,508,715,194,,g19882,,FBgn0034940,,,CG16787,0,,,,,,,
LOC124202674,XP_046454982.1,kinesin-associated protein 3-like,142,979,2918,1139,1383,571,588,326,,g18244,F08F8.3a.2,FBgn0028421,FBpp0288394,FBgn0028421,Kap3,Kinesin associated protein 3,,XP_001654812.1,ENSP00000354560.2,ENSMUSP00000076830.6,XP_016772858.2,,XP_037866627.1
LOC124202675,XP_046454983.1,N-acetylated-alpha-linked acidic dipeptidase 2-like,22,18,1246,1482,3973,1762,1887,1823,,g18246,,,,,,,,,,,,,
LOC124202676,XP_046454986.1,N-acetylated-alpha-linked acidic dipeptidase 2-like,47,53,54,382,1416,460,247,242,,g18247,,FBgn0036793,,,CG4174,0,,,,,XP_026296714.1,,
LOC124202677,XP_046454987.1,metal-response element-binding transcription factor 2-like,1891,3189,5300,1702,1609,804,782,993,,g18243,,FBgn0003044,FBpp0085914,FBgn0003044,Pcl,Polycomblike,,XP_021693937.1,ENSP00000359321.4,ENSMUSP00000080278.5,XP_006568050.1,,XP_004928551.2
LOC124202678,XP_046454988.1,SCF E3 ubiquitin ligase complex F-box protein grrA-like,3,3,13,3,27,7,3,6,,g18249,,FBgn0038385,,,Fbxl7,F-box and leucine-rich repeat protein 7,,,,,,,
LOC124202679,XP_046454990.1,uncharacterized protein LOC124202679 isoform X1,30,82,128,33,136,106,128,495,,g18248,T25E12.13.1,FBgn0029959,,,Rab39,Rab39,,,,,,,
LOC124202680,XP_046454995.1,uncharacterized protein LOC124202680,18,38,100,30,64,63,58,258,,,,,,,,,,,,,,,
LOC124202681,XP_046454996.1,inositol oxygenase-like,43,312,50,44,4209,955,1072,1959,,,C54E4.5.1,,FBpp0288569,FBgn0036262,CG6910,0,,XP_021706632.1,ENSP00000216075.6,ENSMUSP00000023282.3,XP_392190.2,,XP_037872103.1
LOC124202682,XP_046454998.1,DNA-directed RNA polymerase II subunit rpb1-like isoform X2,0,0,2,0,3,0,6,8,,,,,,,,,,,,,,,
LOC124202686,XP_046455001.1,sodium-independent sulfate anion transporter-like isoform X2,304,1194,3236,2083,1430,834,722,615,,g17782,,FBgn0013953,,,Esp,Epidermal stripes and patches,,,,,,,
LOC124202687,XP_046455003.1,uncharacterized protein LOC124202687,526,1032,2073,851,1152,521,490,586,,g17784,,FBgn0005666,,,bt,bent,,,,,,,
LOC124202688,XP_046455005.1,uncharacterized protein LOC124202688,776,1238,2952,1390,3563,1088,955,840,,g17786,,FBgn0015546,,,spel1,spellchecker1,,XP_021705896.1,,,XP_026299931.1,,XP_012545928.1
LOC124202689,XP_046455006.1,CUB and sushi domain-containing protein 1-like,3,4,95,96,167,103,73,54,,g17783,,FBgn0032797,,,Hasp,Hig-anchoring scaffold protein,,,,,,,
LOC124202691,XP_046455008.1,peptidyl-prolyl cis-trans isomerase-like 4,1015,2994,4411,1229,4227,1143,1292,1234,,g17788,F39H2.2a.1,FBgn0027617,FBpp0084113,FBgn0027617,CG5808,0,,XP_001651320.2,ENSP00000253329.2,ENSMUSP00000015901.5,XP_026299564.1,,XP_004931738.1
LOC124202697,XP_046455011.1,glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like,1,3,302,573,122,703,787,253,,g18299,,FBgn0032078,,,C1GalTA,Core 1 Galactosyltransferase A,,,,,,,
LOC124202698,XP_046455013.1,glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like,2,1,29,72,37,164,256,212,,,,,,,,,,,,,,,
LOC124202699,XP_046455014.1,uncharacterized protein LOC124202699,18,73,148,53,63,41,75,80,,,,,,,,,,,,,,,
LOC124202701,XP_046455031.1,serine/threonine-protein kinase mig-15-like isoform X16,2579,13482,27882,10011,11419,5452,6360,3928,,g19653,ZC504.4c.1,FBgn0010909,,,msn,misshapen,,,,,,,
LOC124202703,XP_046455037.1,uncharacterized protein LOC124202703,482,971,1771,568,798,528,371,428,,g19652,,FBgn0035162,,,Sf3b3,Splicing factor 3b subunit 3,,,ENSP00000457027.2,ENSMUSP00000116614.2,,,
LOC124202704,XP_046455038.1,glypican-5-like,4404,5962,8698,3598,5309,2990,4269,4578,,g19654,,FBgn0263930,FBpp0297069,FBgn0263930,dally,division abnormally delayed,,XP_021695577.1,,,XP_026296717.1,,XP_004923003.1
LOC124202705,XP_046455039.1,uncharacterized protein LOC124202705,680,2090,3262,1411,2437,1131,1212,1042,,,,,,,,,,,,,,,
LOC124202706,XP_046455040.1,transcription initiation factor TFIID subunit 11-like,28,87,152,58,66,33,26,21,,,,,,,,,,,ENSP00000354633.4,ENSMUSP00000025057.5,,,
LOC124202707,XP_046455046.1,RNA-binding protein 42-like,811,2054,2893,790,956,333,532,385,,g3596,Y54H5A.3.1,,FBpp0078402,FBgn0037342,CG2931,0,,XP_021700864.1,ENSP00000467614.1,ENSMUSP00000040005.7,,,
LOC124202708,XP_046455041.1,serine/arginine repetitive matrix protein 1-like isoform X1,0,0,1117,2493,3262,706,1085,222,,g19733,,FBgn0028703,,,Nhe3,Na[+]/H[+] hydrogen exchanger 3,,,,,,,
LOC124202709,XP_046455048.1,mucin-2-like,0,1,817,521,2758,704,619,1920,,g19732,,,,,,,,,,,,,
LOC124202710,XP_046455049.1,high-affinity choline transporter 1-like,0,2,350,615,2058,768,718,36,,g19734,C48D1.3.1,FBgn0038641,FBpp0083084,FBgn0038641,ChT,Choline transporter,,XP_021713007.1,ENSP00000264047.2,ENSMUSP00000093379.4,XP_392464.3,,XP_037867652.1
LOC124202711,XP_046455050.1,tRNA N(3)-methylcytidine methyltransferase METTL2-like isoform X1,360,1116,2054,681,759,307,324,298,,,,,FBpp0072696,FBgn0035247,metl,methyltransferase-like,,,,,,,XP_037868441.1
LOC124202712,XP_046455054.1,vegetative cell wall protein gp1-like isoform X3,53,39,74,75,9154,1080,655,1173,,g19735,,FBgn0053196,,,dpy,dumpy,,,,,,,
LOC124202713,XP_046455057.1,uncharacterized protein LOC124202713,0,0,72,126,374,331,220,36,,g3597,,,,,,,,,,,,,
LOC124202714,XP_046455055.1,mRNA cap guanine-N7 methyltransferase-like,1886,4944,6460,1588,2128,1076,1146,1319,,g19731,C25A1.3.1,FBgn0038470,FBpp0080257,FBgn0286027,CG18213,0,,XP_021712662.1,ENSP00000262173.3,ENSMUSP00000009679.5,XP_016770754.2,,XP_004923022.1
LOC124202717,XP_046455056.1,melanopsin-like,0,6,12,24,77,32,36,6,,g19443,,,,,,,,,,,,,
LOC124202719,XP_046455060.1,rho GTPase-activating protein 100F-like isoform X1,15,75,1940,1692,3469,814,926,168,,g17779,,FBgn0039883,,,RhoGAP100F,Rho GTPase activating protein at 100F,,,,,XP_006559553.1,,
LOC124202720,XP_046455100.1,uncharacterized protein LOC124202720,0,2,5,119,756,31,91,29,,g1335,,,,,,,,,ENSP00000451665.1,,,,
LOC124202721,XP_046455065.1,uncharacterized protein LOC124202721 isoform X1,29,126,398,587,1551,542,554,112,,g17781,,FBgn0010399,,,Nmdar1,NMDA receptor 1,,,,,,,
LOC124202722,XP_046455070.1,dermonecrotic toxin LarSicTox-betaID1-like,3,1,1,2,2,1,1,0,,,,,FBpp0111644,FBgn0085460,CG34431,0,,,,,,,
LOC124202724,XP_046455085.1,ankyrin-1-like,1,9,9,13,65,131,359,312,,g15989,,,,,,,,,,,,,
LOC124202725,XP_046455084.1,zingipain-2-like isoform X2,0,0,0,3,12,26,16,13,,g18362,,FBgn0013770,,,Cp1,Cysteine proteinase-1,,,,,,,
LOC124202726,XP_046455086.1,speckle-type POZ protein-like,55,4,5,1,2,5,1,35,,g18366,,,,,,,,,,,,,
LOC124202727,XP_046455087.1,ervatamin-B-like,0,0,0,0,0,4,6,5,,,,,,,,,,,,,,,
LOC124202728,XP_046455088.1,zingipain-2-like,0,0,61,728,3290,2162,1257,262,,g18367,,,,,,,,,,,,,
LOC124202729,XP_046455089.1,ervatamin-B-like,0,0,210,1166,3920,4604,4175,946,,g17777,,FBgn0013770,,,Cp1,Cysteine proteinase-1,,,,,,,
LOC124202733,XP_046455092.1,uncharacterized protein LOC124202733,0,0,0,0,1,1,0,2,,g21555,,,,,,,,,,,,,
LOC124202734,XP_046455090.1,uncharacterized protein LOC124202734,5,4,13,25,17,9,2,19,,,,,,,,,,,,,,,
LOC124202735,XP_046455091.1,uncharacterized protein LOC124202735,5,4,13,25,17,9,2,19,,g2997,,,,,,,,,,,,,
LOC124202739,XP_046455094.1,uncharacterized protein LOC124202739 isoform X2,1147,2771,32437,2959,45772,4341,4113,6638,,g18307,,FBgn0036612,FBpp0075136,FBgn0036612,CG4998,0,,XP_021697119.1,,,XP_006565789.1,,XP_021207164.1
LOC124202740,XP_046455095.1,eukaryotic peptide chain release factor GTP-binding subunit ERF3A-like isoform X1,6088,18683,27487,9133,11398,3748,6455,5581,,g18306,,FBgn0020443,,,eRF3,eukaryotic translation release factor 3,,XP_011493540.1,ENSP00000398131.2,ENSMUSP00000078940.8,,,
LOC124202741,XP_046455097.1,NAD-dependent protein deacylase Sirt4-like isoform X1,34,168,647,308,435,233,152,105,,,F46G10.7a.2,,FBpp0070817,FBgn0029783,Sirt4,Sirtuin 4,,XP_001648309.2,ENSP00000202967.4,ENSMUSP00000107697.2,XP_623654.3,,XP_004928926.1
LOC124202742,XP_046455488.1,putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1,4772,11039,15352,3900,5015,1934,3147,2769,,g578,F56D2.6a.1,FBgn0033160,FBpp0088040,FBgn0033160,Dhx15,DEAH-box helicase 15,,XP_001649136.1,ENSP00000336741.4,ENSMUSP00000031061.8,XP_016772178.1,,XP_004926349.1
LOC124202743,XP_046455101.1,uncharacterized protein LOC124202743,135,792,2019,577,855,341,275,144,,g18304,,FBgn0029783,,,Sirt4,Sirtuin 4,,,,,XP_003250800.2,,
LOC124202744,XP_046455102.1,rho GDP-dissociation inhibitor 2-like,1528,6869,13828,3870,3945,1386,1855,1536,,g18305,F46H6.1.1,FBgn0036921,FBpp0074665,FBgn0036921,RhoGDI,RhoGDI,,XP_001663181.1,ENSP00000464205.1,ENSMUSP00000063714.6,XP_016769562.1,,XP_037872654.1
LOC124202745,XP_046455103.1,staphylococcal nuclease domain-containing protein 1-like,7789,34860,91783,39522,41333,10772,16499,21520,,g18878,,FBgn0035121,,,Tudor-SN,Tudor staphylococcal nuclease,,,,,,,
LOC124202746,XP_046455105.1,neuronal PAS domain-containing protein 2-like,723,6044,10873,3926,7593,2503,2329,1374,,g18879,,FBgn0261703,FBpp0292296,FBgn0261703,gce,germ cell-expressed bHLH-PAS,,XP_021696290.1,,,XP_395005.5,,NP_001108457.1
LOC124202747,XP_046455106.1,magnesium transporter NIPA3-like,119,817,2561,650,639,302,257,184,,g18876,Y53G8B.4b.1,FBgn0032451,FBpp0079978,FBgn0032451,spict,spichthyin,,XP_001658166.2,ENSP00000501373.1,ENSMUSP00000032635.8,XP_625083.1,,XP_004925556.3
LOC124202748,XP_046455108.1,filamin-C-like isoform X2,17300,34929,55520,32691,123544,34445,38372,20287,,,C23F12.1g.7,,FBpp0303266,FBgn0028371,jbug,jitterbug,,,,,,,
LOC124202749,XP_046455109.1,uncharacterized protein LOC124202749,1,1,26,24,101,23,10,8,,,,,,,,,,,,,,,
LOC124202750,XP_046455122.1,microtubule-associated protein futsch-like isoform X2,330,156,4497,4373,9332,3535,4048,1850,,g1678,,FBgn0037525,FBpp0305961,FBgn0037525,CG17816,0,,XP_021712673.1,ENSP00000507100.1,,,,
LOC124202751,XP_046455112.1,sushi%2C von Willebrand factor type A%2C EGF and pentraxin domain-containing protein 1-like,8595,53095,56093,32618,12665,14211,20111,9476,,g18757,F47C12.2.1,FBgn0031879,FBpp0288558,FBgn0031879,uif,uninflatable,,XP_021700031.1,,,XP_026298015.1,,XP_012544028.1
LOC124202752,XP_046455113.1,transient receptor potential protein-like,1,5,27,1330,7705,5097,6317,196,,g19579,,FBgn0003861,FBpp0084879,FBgn0003861,trp,transient receptor potential,,XP_001650890.2,,,XP_026296684.1,,XP_021207719.2
LOC124202753,XP_046455114.1,signal recognition particle subunit SRP72-like,1752,8252,17602,6900,8687,2315,2739,1894,,g19585,F08D12.1.1,FBgn0038810,FBpp0083319,FBgn0038810,Srp72,Signal recognition particle 72,,XP_021704857.1,ENSP00000495128.1,ENSMUSP00000098648.4,XP_026301096.1,,XP_037874713.1
LOC124202755,XP_046455117.1,tubulin-specific chaperone cofactor E-like protein,104,615,2783,1921,3976,1305,424,460,,g19584,C52B9.3a.1,,FBpp0087457,FBgn0265512,mlt,mulet,,XP_021707616.1,ENSP00000403925.2,ENSMUSP00000121164.2,XP_625182.3,,XP_004928336.2
LOC124202756,XP_046455118.1,serine beta-lactamase-like protein LACTB%2C mitochondrial,168,1346,1756,360,347,157,114,161,,g19583,,FBgn0265512,,,mlt,mulet,,,,,,,
LOC124202757,XP_046455120.1,cysteine-rich hydrophobic domain-containing protein 2-like,303,844,2362,1125,2139,615,401,479,,g19580,W06E11.5a.1,FBgn0046247,FBpp0084529,FBgn0046247,CG5938,0,,XP_021710955.1,ENSP00000263921.3,ENSMUSP00000074903.6,XP_393012.2,,XP_004931330.1
LOC124202758,XP_046455121.1,macrophage migration inhibitory factor-like,111,404,1485,604,760,285,202,209,,g19581,Y56A3A.3.1,FBgn0263755,,,Su(var)3-9,Suppressor of variegation 3-9,,,ENSP00000215754.7,ENSMUSP00000041149.7,,,NP_001040199.1
LOC124202760,#N/A,,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,
LOC124202762,XP_046455127.1,protein PHTF2-like isoform X3,1025,4013,9676,5949,13611,3611,3232,1963,,,,,FBpp0085459,FBgn0028579,phtf,phtf,,XP_021697972.1,,ENSMUSP00000114087.2,,,XP_037872806.1
LOC124202763,XP_046455131.1,uncharacterized protein LOC124202763,807,2567,3327,670,720,362,287,285,,,,,,,,,,,ENSP00000403306.1,,,,
LOC124202764,XP_046455132.1,uncharacterized protein LOC124202764,154,737,1367,371,488,218,228,110,,,,,,,,,,,ENSP00000460087.1,,,,
LOC124202765,XP_046455133.1,integrator complex subunit 6-like isoform X1,2791,7324,12180,3736,5615,2430,2482,2257,,,F08B4.1b.1,,FBpp0070807,FBgn0261383,IntS6,Integrator 6,,XP_021694945.1,ENSP00000310260.4,ENSMUSP00000152954.2,XP_395179.2,,XP_004930243.1
LOC124202766,XP_046455136.1,fragile X mental retardation syndrome-related protein 1-like isoform X2,4838,19068,32166,11069,15901,5021,6768,5304,,g6918,,FBgn0028734,FBpp0312465,FBgn0028734,Fmr1,Fmr1,,XP_021710006.1,,ENSMUSP00000142847.2,,,XP_037867524.1
LOC124202767,XP_046455140.1,uncharacterized protein LOC124202767,13,18,47,17,31,9,6,38,,,,,,,,,,,,,,,
LOC124202768,XP_046455141.1,uncharacterized protein LOC124202768,242,269,380,69,91,49,25,325,,,,,,,,,,,ENSP00000463689.1,,XP_006561028.1,,
LOC124202769,XP_046455142.1,dynein regulatory complex protein 9-like,2,5,64,45,117,33,29,7,,,,,,,,,,,ENSP00000265239.6,ENSMUSP00000110752.2,XP_006569559.2,,XP_021202601.1
LOC124202770,XP_046455145.1,protein tramtrack%2C alpha isoform-like isoform X2,1222,5300,9455,3328,4999,2143,2229,1682,,g19096,,FBgn0283521,,,lola,longitudinals lacking,,,,,,,
LOC124202771,XP_046455151.1,exportin-T-like,1076,5366,9251,2728,2759,1485,2924,2606,,g1680,C49H3.10a.1,FBgn0020497,FBpp0312321,FBgn0020497,emb,embargoed,,XP_021700629.1,ENSP00000327821.5,ENSMUSP00000151722.2,XP_396469.1,,
LOC124202772,XP_046455149.1,uncharacterized protein LOC124202772,313,13207,38924,11701,43412,4630,7970,2303,,g19093,,FBgn0259704,,,Nsun5,Nop2/Sun-like domain containing protein 5,,XP_001663091.2,,,,,
LOC124202774,XP_046455150.1,bromodomain and WD repeat-containing protein 3-like,61,490,1365,665,377,331,464,182,,g19495,,FBgn0011785,,,BRWD3,BRWD3,,,,,,,
LOC124202777,XP_046455154.1,cell wall protein DAN4-like isoform X1,31,155,405,107,3627,835,1031,1579,,g19488,,FBgn0013733,,,shot,short stop,,,,,,,
LOC124202778,XP_046455156.1,uncharacterized protein LOC124202778,567,766,1944,793,717,522,429,618,,,Y39G10AR.13b.1,,,,,,,,,,,,
LOC124202779,XP_046455157.1,lathosterol oxidase-like,2,5,13,14,83,46,17,225,,g19491,,FBgn0030509,,,CG11162,0,,XP_021700213.1,,,,,XP_037868948.1
LOC124202780,XP_046455158.1,aldo-keto reductase family 1 member B1-like,767,891,4144,3588,3905,912,1511,1652,,g19489,,FBgn0086254,,,Akr1B,Aldo-keto reductase 1B,,,,,,,
LOC124202782,XP_046455160.1,aldo-keto reductase family 1 member B7-like,347,1930,7875,4927,3707,1681,1886,949,,g19490,Y39G8B.1a.2,FBgn0086254,FBpp0303937,FBgn0086254,Akr1B,Aldo-keto reductase 1B,,,,,,,
LOC124202783,XP_046455162.1,uncharacterized protein LOC124202783 isoform X2,1,2,59,47,135,70,66,58,,g19487,,FBgn0039862,,,kek6,kekkon 6,,,,,,,
LOC124202786,XP_046455164.1,periostin-like,1,9,229,2306,11186,4525,3739,3364,,g19318,,FBgn0260745,,,mfas,midline fasciclin,,,ENSP00000437953.1,ENSMUSP00000153546.2,XP_026295028.1,,
LOC124202787,XP_046455165.1,uncharacterized protein LOC124202787,0,0,0,0,11,60,66,8,,,,,,,,,,,,,,,
LOC124202788,XP_046455167.1,transforming growth factor-beta-induced protein ig-h3-like,1,7,106,738,3378,1426,1157,975,,,,,,,,,,,,,,,
LOC124202789,XP_046455168.1,replication factor C subunit 1-like,0,0,3,1,0,0,1,1,,,,,,,,,,,,,,,
