Consensus Name,KAP4 Locus,KAP4 Description,A,C,D,E,F,H,I,M,CON21 Gene #,A,B,C,D,E,F,G,H,I,Fly Gene #,Fly Gene,Fly Description,TF family
Dpul_Gene_5761,LOC124198558,macrophage mannose receptor 1-like,83,1,7,1,3,0,1,2,g12268,4,10,1,0,0,3,1,1,1,,,,
Dpul_Gene_5762,LOC124198559,AT-rich interactive domain-containing protein 5B-like isoform X1,1849,6229,13308,4702,10896,2686,3085,2253,g12440,727,994,931,626,609,533,2925,1949,1564,FBgn0085451,htk,hat-trick,ARID
Dpul_Gene_5763,LOC124198561,valine--tRNA ligase-like,562,2361,4080,1106,997,332,586,490,g12838,250,413,380,192,117,107,141,314,167,,,,
Dpul_Gene_5764,LOC124198562,sodium/calcium exchanger 3-like isoform X2,0,8,5571,15599,17908,9051,10110,2266,g12839,3,6,12,1573,7518,3510,20393,9095,3488,,,,
Dpul_Gene_5765,LOC124198563,ectonucleoside triphosphate diphosphohydrolase 2-like isoform X3,837,1834,3291,1280,1629,763,715,1102,g12437,851,702,616,355,335,286,453,390,319,FBgn0024947,NTPase,NTPase,
Dpul_Gene_5766,LOC124198565,probable ATP-dependent RNA helicase DDX56,3330,6916,10131,2121,2398,3581,2914,2556,g12436,3228,3274,2516,869,387,321,1420,1431,951,FBgn0001565,Hlc,Helicase,
Dpul_Gene_5767,LOC124198566,phenoloxidase-activating factor 2-like,21,1140,3463,3295,2421,3127,4382,3433,g12438,36,264,275,639,1350,513,6574,2795,654,FBgn0032213,CG5390,0,
Dpul_Gene_5768,LOC124198568,cytochrome P450 4C1-like isoform X4,23,5,1586,2766,4296,1630,1599,1975,g13691,1,3,4,9,69,140,197,171,255,,,,
Dpul_Gene_5769,LOC124198569,cytochrome P450 4c3-like,176,23,1791,1277,884,286,290,690,g13696,563,26,15,32,112,99,86,87,257,FBgn0015036,Cyp4ae1,Cytochrome P450-4ae1,
Dpul_Gene_5770,LOC124198570,cytochrome P450 4C1-like,0,7,184,532,1183,399,336,665,g13689,0,6,9,3,90,140,239,229,393,,,,
Dpul_Gene_5771,LOC124198574,uncharacterized protein LOC124198574 isoform X2,107,24,102,31,119,37,43,325,g24317,50,4,2,1,1,1,3,5,9,,,,
Dpul_Gene_5772,LOC124198577,elongation of very long chain fatty acids protein 4-like,51,192,1641,783,893,187,203,51,g14316,160,147,159,345,320,173,150,184,64,FBgn0052072,Elo68alpha,Elongase 68alpha,
Dpul_Gene_5773,LOC124198580,protein retinal degeneration B-like isoform X2,415,1792,5752,3693,5246,2545,2547,1654,g14318,120,136,137,244,290,280,3150,2389,2174,FBgn0003218,rdgB,retinal degeneration B,
Dpul_Gene_5774,LOC124198581,RNA-binding protein spenito-like,4282,11703,16955,5553,7819,2550,3352,2813,g14322,3382,3892,2981,1633,1290,900,4041,3192,2297,FBgn0027548,nito,spenito,
Dpul_Gene_5775,LOC124198582,uncharacterized protein LOC124198582,0,2,6,6,29,66,58,19,g700,0,2,2,0,2,10,159,126,127,FBgn0261085,Syt12,Synaptotagmin 12,
Dpul_Gene_5776,LOC124198583,adenosylhomocysteinase-like 1 isoform X1,439,3319,5713,3327,7271,2314,2653,1812,g14320,402,1786,1450,891,1233,1157,3743,2995,2014,FBgn0035371,AhcyL1,Adenosylhomocysteinase like 1,
Dpul_Gene_5777,LOC124198584,peptidyl-glycine alpha-amidating monooxygenase B-like,35,161,926,4194,2446,1903,2502,656,g14319,21,131,100,436,3367,833,1482,1684,664,,,,
Dpul_Gene_5778,LOC124198585,nucleolin 2-like,170,314,916,425,726,296,219,412,g14323,93,42,40,33,64,42,90,89,119,FBgn0002542,lds,lodestar,
Dpul_Gene_5779,LOC124198586,growth arrest and DNA damage-inducible proteins-interacting protein 1-like,485,2045,5575,2577,3664,745,904,563,g14324,852,1038,1021,786,596,881,363,650,396,FBgn0037102,CRIF,CR6-interacting factor,
Dpul_Gene_5780,LOC124198587,mitochondrial inner membrane protease ATP23 homolog,243,668,1470,667,696,164,239,223,g14321,457,349,333,316,245,277,121,268,150,FBgn0032644,CG5131,0,
Dpul_Gene_5781,LOC124198589,retinal homeobox protein Rx-like,0,8,138,64,79,40,33,3,g14326,0,3,6,24,24,11,45,27,17,,,,
Dpul_Gene_5782,LOC124198590,glutaryl-CoA dehydrogenase%2C mitochondrial-like,369,383,2240,3094,7927,4187,3474,2315,g14325,1145,207,247,385,733,1703,4754,3200,2127,FBgn0031824,CG9547,0,
Dpul_Gene_5783,LOC124198592,titin homolog,3524,13305,22251,7309,8901,4041,4380,2977,g14328,1622,2237,1703,789,646,472,3126,2660,2209,FBgn0037344,CG2926,0,
Dpul_Gene_5784,LOC124198593,mucin-17-like isoform X1,1025,6980,85717,37108,322860,36912,44480,42512,g699,135,502,793,2918,1757,5906,26534,33145,39604,FBgn0053978,CG33978,0,
Dpul_Gene_5785,LOC124198594,inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase-like isoform X1,529,2815,8167,4866,11127,3334,3084,2314,g14327,368,1330,1295,1250,1284,1611,4404,2664,2892,FBgn0027279,l(1)G0196,lethal (1) G0196,
Dpul_Gene_5786,LOC124198595,97 kDa heat shock protein-like,4730,15089,22753,7656,9123,2299,8620,6026,g14329,5935,6153,5254,2404,1734,1415,2407,5442,2498,FBgn0026418,Hsc70Cb,Hsc70Cb,
Dpul_Gene_5787,LOC124198597,protein KIAA0100-like,1683,3944,10190,4859,8762,3220,2864,2355,g14476,950,797,700,524,587,711,2465,2158,2051,FBgn0035420,hob,hobbit,
Dpul_Gene_5788,LOC124198598,UPF0462 protein C4orf33 homolog isoform X2,29,39,104,168,206,1006,950,176,g14477,109,53,80,90,56,37,340,290,102,FBgn0030449,Fer3HCH,Ferritin 3 heavy chain homologue,
Dpul_Gene_5789,LOC124198599,soma ferritin-like,597,2247,3769,1646,2413,2002,1676,1092,g14478,1691,2163,2056,908,1159,813,1097,766,434,,,,
Dpul_Gene_5790,LOC124198601,uncharacterized protein LOC124198601 isoform X2,2623,7606,12894,5147,8126,3250,3290,2527,g12510,743,897,712,482,474,374,3571,2786,2182,FBgn0286070,cnk,connector enhancer of ksr,
Dpul_Gene_5791,LOC124198602,cytochrome P450 302a1%2C mitochondrial-like isoform X1,145,925,703,333,180,318,305,223,g12511,81,298,238,72,132,55,206,165,165,FBgn0000449,dib,disembodied,
Dpul_Gene_5792,LOC124198603,lactosylceramide 4-alpha-galactosyltransferase-like,4,16,33,172,87,37,53,22,g12512,0,0,0,2,20,42,1,14,20,,,,
Dpul_Gene_5793,LOC124198604,uncharacterized protein LOC124198604,2,2,478,235,60,119,168,39,g14226,0,1,3,74,258,14,218,101,31,,,,
Dpul_Gene_5794,LOC124198605,tetratricopeptide repeat protein 8-like isoform X1,46,256,494,135,173,39,61,36,g14200,15,18,25,31,33,20,47,35,23,FBgn0031255,BBS8,Bardet-Biedl syndrome 8,
Dpul_Gene_5795,LOC124198606,alpha-(1%2C3)-fucosyltransferase C-like,19,5,129,95,22,98,122,31,g14209,1,3,7,26,47,2,257,116,28,,,,
Dpul_Gene_5796,LOC124198607,uncharacterized protein LOC124198607,7,46,952,756,2615,1241,1174,1014,g14202,10,16,18,174,253,373,780,636,397,FBgn0030964,Pvf1,PDGF- and VEGF-related factor 1,
Dpul_Gene_5797,LOC124198608,protein Star-like,1,9,899,469,42,312,368,77,g14207,20,62,83,308,1006,84,1133,520,133,,,,
Dpul_Gene_5798,LOC124198609,protein Star-like,15,99,733,268,79,152,227,68,g14203,9,55,61,153,304,57,400,198,103,FBgn0032078,C1GalTA,Core 1 Galactosyltransferase A,
Dpul_Gene_5799,LOC124198610,uncharacterized protein LOC124198610,0,7,391,153,38,84,104,20,g14211,14,15,24,75,217,33,141,61,26,,,,
Dpul_Gene_5800,LOC124198612,glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like isoform X2,34,46,231,165,26,98,112,31,g14208,15,39,53,102,267,38,240,170,72,,,,
Dpul_Gene_5801,LOC124198615,proteasome subunit alpha type-1-like,2510,6583,9856,2746,2382,1077,1586,1439,g14201,5638,6602,5875,2979,1908,775,789,1539,871,FBgn0250843,Prosalpha6,Proteasome alpha6 subunit,
Dpul_Gene_5802,LOC124198616,uncharacterized protein LOC124198616,291,945,2718,1248,1404,265,357,209,g14199,685,1163,1186,968,794,755,162,350,186,FBgn0051450,mRpS18A,mitochondrial ribosomal protein S18A,
Dpul_Gene_5803,LOC124198618,cGMP-specific 3'%2C5'-cyclic phosphodiesterase-like isoform X1,150,985,2997,1180,1460,528,589,311,g13821,19,55,48,57,93,77,227,171,112,FBgn0038237,Pde6,Phosphodiesterase 6,
Dpul_Gene_5804,LOC124198619,tetraspanin-7-like,430,621,1850,1208,1945,1075,721,495,g13823,939,365,310,345,498,585,808,561,344,FBgn0032075,Tsp29Fb,Tetraspanin 29Fb,
Dpul_Gene_5805,LOC124198620,uncharacterized protein LOC124198620,26,32,103,46,49,36,15,150,g13795,85,117,99,89,73,30,65,55,83,,,,
Dpul_Gene_5806,LOC124198621,transmembrane protein 230-like,123,299,835,344,427,177,174,185,g13822,397,232,237,181,182,128,110,106,90,FBgn0035285,CG12025,0,
Dpul_Gene_5807,LOC124198628,endoribonuclease Dicer-like,232,447,496,144,344,427,369,437,g13813,161,118,97,41,11,39,66,131,204,FBgn0037632,CCT7,Chaperonin containing TCP1 subunit 7,
Dpul_Gene_5808,LOC124198629,extensin-2-like,3317,3,25,5,36,6,24,2766,g13815,9878,18,1,3,1,1,3,22,534,,,,
Dpul_Gene_5809,LOC124198632,T-complex protein 1 subunit eta-like,6772,15152,23443,7157,6416,2560,4207,4123,g13812,10185,9960,8348,4073,2384,1630,1669,4225,2422,FBgn0037632,CCT7,Chaperonin containing TCP1 subunit 7,
Dpul_Gene_5810,LOC124198633,complexin-like,6,18,624,2276,6963,2296,1726,315,g13811,1,3,4,79,282,609,2600,1674,831,FBgn0041605,cpx,complexin,
Dpul_Gene_5811,LOC124198638,cytochrome P450 4c3-like,1,3,13,9,49,60,66,1219,g12109,0,2,3,20,71,1150,43,1198,4189,FBgn0015032,Cyp4c3,Cytochrome P450-4c3,
Dpul_Gene_5812,LOC124198639,cytochrome P450 4c3-like,2,5,5,6,87,44,26,162,g13803,0,3,4,8,24,71,136,108,72,FBgn0015032,Cyp4c3,Cytochrome P450-4c3,
Dpul_Gene_5813,LOC124198641,cytochrome P450 4g15-like,0,1,1,1,31,18,5,54,g13804,0,0,1,1,5,15,42,26,17,,,,
Dpul_Gene_5814,LOC124198642,insulin-degrading enzyme-like,1573,6490,11826,5275,8072,2174,3013,2032,g13798,1522,1998,1503,754,689,894,1810,2341,1326,FBgn0001247,Ide,Insulin degrading metalloproteinase,
Dpul_Gene_5815,LOC124198643,zinc finger CCHC domain-containing protein 8 homolog,1318,2617,4405,1260,1608,569,679,900,g13797,1181,676,549,231,192,166,315,312,260,FBgn0035021,CG4622,0,
Dpul_Gene_5816,LOC124198644,telomere length and silencing protein 1 homolog,608,1742,2722,716,981,343,361,456,g13796,1086,904,815,355,247,171,213,222,197,FBgn0035254,CG7974,0,
Dpul_Gene_5817,LOC124198645,ferritin-1 heavy chain-like,0,24,69,19,38,71,28,37,g13799,1,11,21,14,6,22,151,133,176,FBgn0015221,Fer2LCH,Ferritin 2 light chain homologue,
Dpul_Gene_5818,LOC124198646,ferritin heavy chain-like,2,527,3187,1841,2515,335,114,79,g13802,1,543,653,405,142,1266,1297,461,728,FBgn0015221,Fer2LCH,Ferritin 2 light chain homologue,
Dpul_Gene_5819,LOC124198647,ferritin subunit-like,2,213,2082,1820,3239,563,243,181,g13801,5,189,275,267,93,1157,1581,651,867,FBgn0015222,Fer1HCH,Ferritin 1 heavy chain homologue,
Dpul_Gene_5820,LOC124198652,uncharacterized protein LOC124198652 isoform X2,239,307,4357,4022,6508,1905,2243,1341,g13793,64,22,17,78,91,127,6619,4100,2732,FBgn0037698,CG16779,0,Myb_DNA-binding|zf-C2H2
Dpul_Gene_5821,LOC124198653,protein sprint-like,987,2938,7282,3053,5215,1389,1616,1521,g13783,393,541,513,549,434,319,3268,2001,1900,FBgn0085443,spri,sprint,
Dpul_Gene_5822,LOC124198654,nuclear pore complex protein Nup133-like,1928,5844,6898,1419,1285,752,1337,1079,g13792,1917,1937,1540,492,281,169,558,1016,550,FBgn0039004,Nup133,Nucleoporin 133kD,
Dpul_Gene_5823,LOC124198655,U3 small nucleolar RNA-associated protein 25 homolog,1296,2637,2977,452,1196,382,999,824,g13780,1005,1040,707,180,66,87,335,493,235,FBgn0034933,CG3735,0,
Dpul_Gene_5824,LOC124198656,WD repeat-containing protein 20-like,243,1225,2992,1163,1803,535,639,351,g13781,84,287,238,170,123,137,518,541,300,FBgn0039451,CG6420,0,
Dpul_Gene_5825,LOC124198657,myocyte-specific enhancer factor 2-like isoform X1,184,2363,7394,3508,5069,1932,1982,1534,g696,58,213,179,134,136,140,2524,1710,1155,FBgn0011656,Mef2,Myocyte enhancer factor 2,SRF-TF
Dpul_Gene_5826,LOC124198658,zinc finger protein 93-like,224,989,2161,782,1020,450,374,202,g13777,136,365,353,259,245,168,357,245,184,FBgn0025874,Meics,Meiotic central spindle,zf-C2H2
Dpul_Gene_5827,LOC124198659,tubulin beta chain-like isoform X3,26182,109486,156270,63871,112250,23189,35239,26117,g13784,35053,62620,62843,32414,25356,19319,19144,34090,22109,,,,
Dpul_Gene_5828,LOC124198660,runt-related transcription factor 2-like isoform X1,1,7,148,194,416,104,121,7,g13776,2,2,4,24,44,35,211,126,60,,,,
Dpul_Gene_5829,LOC124198661,histidine-rich protein PFHRP-II-like isoform X1,9,181,352,335,6507,891,2651,2390,g13778,3,10,9,8,7,4144,7756,6425,1238,FBgn0033661,CG13185,0,
Dpul_Gene_5830,LOC124198662,retinol dehydrogenase 11-like isoform X2,112,321,494,153,134,136,136,92,g13788,407,465,429,180,160,80,248,276,162,FBgn0050495,CG30495,0,
Dpul_Gene_5831,LOC124198663,uncharacterized protein LOC124198663 isoform X2,1025,31,58,34,95,33,33,1508,g13790,3732,326,303,112,59,38,60,122,668,FBgn0001148,gsb,gooseberry,Homeobox|PAX
Dpul_Gene_5832,LOC124198664,3'(2')%2C5'-bisphosphate nucleotidase 1-like,590,872,3444,2910,6073,1459,1282,1105,g13779,1079,643,685,884,1288,1871,993,1160,825,FBgn0039698,CG7789,0,
Dpul_Gene_5833,LOC124198665,dynein axonemal light chain 1-like,8,2,97,82,166,74,61,15,g13794,8,7,5,56,150,64,62,51,24,,,,
Dpul_Gene_5834,LOC124198667,uncharacterized protein LOC124198667,570,1001,1599,321,301,122,369,373,g13789,992,973,819,404,317,208,235,335,144,,,,
Dpul_Gene_5835,LOC124198668,uncharacterized protein LOC124198668 isoform X2,60,278,755,268,285,102,125,70,g13786,241,402,436,197,188,110,80,114,45,,,,
Dpul_Gene_5836,LOC124198669,uncharacterized protein LOC124198669 isoform X2,1,21,238,204,297,166,78,12,g13791,21,57,55,88,197,346,678,623,302,FBgn0260812,inaF-D,inaF-D,
Dpul_Gene_5837,LOC124198676,sodium/potassium-transporting ATPase subunit alpha-B-like isoform X3,4414,11245,20905,18246,48120,12070,13022,4401,g13772,1559,1507,1045,840,1002,2328,31783,23852,13796,FBgn0002921,Atpalpha,Na pump alpha subunit,
Dpul_Gene_5838,LOC124198677,persulfide dioxygenase ETHE1%2C mitochondrial-like,529,1643,2791,1046,1350,593,524,763,g13773,1294,1209,1068,586,669,433,580,456,283,FBgn0050022,CG30022,0,
Dpul_Gene_5839,LOC124198678,electron transfer flavoprotein subunit beta-like,767,2102,6132,3621,6964,1611,1517,1103,g13774,1746,1389,1497,1548,1571,2306,1719,1571,913,FBgn0039697,CG7834,0,
Dpul_Gene_5840,LOC124198679,DNA-directed RNA polymerases I%2C II%2C and III subunit RPABC3-like,354,1159,1629,451,1100,2065,1500,1355,g13775,786,1137,971,297,512,487,5304,2689,3105,FBgn0037121,Rpb8,Rpb8,
Dpul_Gene_5841,LOC124198680,uncharacterized protein LOC124198680,1663,8198,12535,2318,1478,941,1113,525,g13771,1567,4230,3931,1761,1073,349,682,809,360,FBgn0029914,CG4558,0,
Dpul_Gene_5842,LOC124198681,transmembrane protein 41B-like,341,929,1772,613,609,196,280,293,g13770,542,644,550,319,242,243,173,225,106,FBgn0030850,stas,Stasimon,
Dpul_Gene_5843,LOC124198682,glutathione S-transferase Mu 1-like isoform X1,3363,6310,15666,9358,9689,4268,4252,4693,g13767,3229,1611,1843,1657,2114,1115,528,908,587,,,,
Dpul_Gene_5844,LOC124198684,uncharacterized protein LOC124198684 isoform X2,304,1296,2912,938,4760,2277,2313,1537,g13769,637,906,868,529,379,468,337,448,301,FBgn0030941,wgn,wengen,
Dpul_Gene_5845,LOC124198685,prenylcysteine oxidase-like,360,993,2528,1030,1067,562,551,496,g695,735,567,477,351,330,248,403,399,248,FBgn0035943,CG5653,0,
Dpul_Gene_5846,LOC124198686,39S ribosomal protein L23%2C mitochondrial-like,162,904,3887,1711,1928,344,332,231,g13762,584,932,957,704,538,662,251,275,149,FBgn0035335,mRpL23,mitochondrial ribosomal protein L23,
Dpul_Gene_5847,LOC124198687,bestrophin-4-like,618,1674,4960,3304,5776,1841,1885,1292,g13757,407,492,409,253,471,532,1403,1176,775,FBgn0040238,Best1,Bestrophin 1,
Dpul_Gene_5848,LOC124198688,src substrate cortactin-like,1633,5183,11046,4595,5624,1931,2794,2606,g13761,1706,1870,1616,863,742,617,896,1386,895,FBgn0025865,Cortactin,Cortactin,
Dpul_Gene_5849,LOC124198689,hydroxyacid oxidase 1-like isoform X1,256,339,1002,394,448,88,74,118,g13760,415,188,56,46,45,90,62,56,52,FBgn0061356,CG18003,0,
Dpul_Gene_5850,LOC124198690,filaggrin-2-like,0,0,6,4,658,182,296,117,g13758,4,1,2,4,26,807,925,1085,120,FBgn0050122,CG30122,0,
Dpul_Gene_5851,LOC124198691,mucin-12-like,45,33,52,31,63,90,37,221,g12214,85,14,8,6,6,9,31,24,57,FBgn0039257,tnc,tenectin,
Dpul_Gene_5852,LOC124198692,phenylalanine--tRNA ligase%2C mitochondrial-like,225,1164,3856,1977,2005,978,839,483,g698,391,703,713,581,614,410,471,606,296,FBgn0275436,PheRS-m,"Phenylalanyl-tRNA synthetase, mitochondrial",
Dpul_Gene_5853,LOC124198695,uncharacterized protein LOC124198695 isoform X2,1478,93,262,179,592,111,103,1029,g13725,3357,52,22,13,21,34,115,122,403,FBgn0030757,CG9902,0,
Dpul_Gene_5854,LOC124198696,MAP kinase-activating death domain protein-like isoform X3,59,125,4308,4875,10919,3793,3528,492,g13739,63,18,33,298,596,767,3900,2745,1658,FBgn0030613,Rab3-GEF,Rab3 GDP-GTP exchange factor,
Dpul_Gene_5855,LOC124198697,protein phosphatase 1 regulatory subunit 12A-like isoform X3,1251,6810,17595,8467,17084,4233,5366,3045,g13728,382,391,312,253,230,324,4480,4059,3203,FBgn0005536,Mbs,Myosin binding subunit,
Dpul_Gene_5856,LOC124198699,formin-like protein,1056,6489,14557,5452,9559,2945,3405,2878,g13735,546,797,676,457,420,468,3008,2700,2163,FBgn0267795,Frl,Formin-like,
Dpul_Gene_5857,LOC124198700,transcription factor SPT20 homolog isoform X8,893,3010,5454,1973,2980,1149,1286,763,g13740,446,511,387,248,230,172,979,930,662,FBgn0036374,Spt20,Spt20,
Dpul_Gene_5858,LOC124198702,inner centromere protein B-like isoform X2,5635,15402,10879,1105,1282,800,816,2512,g13730,3705,3180,2613,494,167,100,572,874,1028,FBgn0260991,Incenp,Inner centromere protein,
Dpul_Gene_5859,LOC124198703,periodic tryptophan protein 1 homolog isoform X1,1045,2476,3804,682,1072,613,1544,1355,g13733,1888,2142,1713,568,200,158,683,1069,430,FBgn0263510,nclb,no child left behind,
Dpul_Gene_5860,LOC124198704,torso-like protein,16,7,64,106,1270,115,292,161,g13732,9,7,6,11,22,264,347,635,298,FBgn0003867,tsl,torso-like,
Dpul_Gene_5861,LOC124198705,bone morphogenetic protein 2-like,7,78,679,319,501,302,391,722,g13734,2,34,54,58,62,62,361,412,320,FBgn0031461,daw,dawdle,
Dpul_Gene_5862,LOC124198706,mediator of RNA polymerase II transcription subunit 19-like isoform X2,1300,3653,6462,2267,2205,844,792,652,g13738,1085,1244,1101,609,541,334,381,402,288,FBgn0036761,MED19,Mediator complex subunit 19,
Dpul_Gene_5863,LOC124198707,ras-related and estrogen-regulated growth inhibitor-like,1,1,337,398,592,119,107,29,g13731,204,166,105,66,62,143,290,217,138,FBgn0035711,CG8519,0,
Dpul_Gene_5864,LOC124198708,GTP:AMP phosphotransferase AK3%2C mitochondrial-like,309,1110,3613,1835,2930,674,579,527,g13736,821,592,594,618,777,653,348,351,296,FBgn0042094,Adk3,Adenylate kinase 3,
Dpul_Gene_5865,LOC124198710,required for excision 1-B domain-containing protein-like,2308,3122,8582,5245,3569,264,857,1656,g13737,6168,3576,2478,2196,2749,1580,186,546,411,FBgn0032636,CG5043,0,
Dpul_Gene_5866,LOC124198712,creatine transporter-like,571,214,251,17,56,10,11,179,g13743,680,139,125,25,3,4,8,9,29,FBgn0035969,CG4476,0,
Dpul_Gene_5867,LOC124198713,neuropeptides capa receptor-like,0,17,21,49,226,118,102,13,g13741,0,2,4,4,14,32,636,428,265,FBgn0053696,CNMaR,CNMamide Receptor,
Dpul_Gene_5868,LOC124198714,N-acetylgalactosamine kinase-like,393,720,1980,1229,978,652,635,603,g13744,502,432,388,304,475,194,565,386,241,FBgn0263199,Galk,Galactokinase,
Dpul_Gene_5869,LOC124198715,leucine-rich repeat-containing protein 15-like,8,28,263,377,1361,313,296,158,g13742,0,2,3,14,46,53,589,349,237,FBgn0031100,CG1504,0,
Dpul_Gene_5870,LOC124198717,alpha-(1%2C3)-fucosyltransferase C-like,0,2,3,6,23,12,18,10,g13745,0,0,1,0,2,9,19,17,5,,,,
Dpul_Gene_5871,LOC124198718,carbonic anhydrase-related protein 10-like isoform X2,22,145,927,399,812,306,356,175,g13746,3,29,34,71,119,97,602,391,276,FBgn0029962,CARPA,Carbonic anhydrase-related protein A,
Dpul_Gene_5872,LOC124198723,vitelline membrane outer layer protein 1 homolog,0,0,0,76,556,191,82,92,g11681,1,0,1,0,23,204,103,94,171,FBgn0261004,asl,asterless,
Dpul_Gene_5873,LOC124198724,uncharacterized protein LOC124198724,630,2277,4093,2116,4942,948,1195,1234,g12905,803,808,787,594,955,300,1002,934,743,FBgn0031988,CG8668,0,
Dpul_Gene_5874,LOC124198725,UDP-sugar transporter UST74c-like isoform X1,424,798,2591,1393,1025,422,528,514,g12904,1332,692,606,509,1128,361,357,428,198,FBgn0042641,frc,fringe connection,
Dpul_Gene_5875,LOC124198726,ADP-ribosylation factor 2,1248,4302,10605,5295,4169,1445,2029,1558,g12906,4190,6087,5375,3362,4283,2029,1223,1899,867,FBgn0261270,Sps1,Selenophosphate synthetase 1,
Dpul_Gene_5876,LOC124198727,uncharacterized protein LOC124198727 isoform X1,584,119,288,120,261,116,54,634,g14402,1247,52,33,13,6,23,30,53,303,FBgn0265356,tn,thin,
Dpul_Gene_5877,LOC124198728,chondroitin proteoglycan 2-like,131,16,14,6,14,22,6,91,g691,14,7,3,0,0,1,2,491,842,FBgn0027600,obst-B,obstructor-B,
Dpul_Gene_5878,LOC124198730,von Willebrand factor D and EGF domain-containing protein-like isoform X1,330,2147,7309,2253,2277,568,518,515,g14393,79,548,725,927,659,304,1005,908,798,FBgn0004647,N,Notch,
Dpul_Gene_5879,LOC124198731,semaphorin-1A-like,783,5370,10980,4652,6360,2625,2611,1444,g14398,177,610,635,491,316,272,7655,5017,3314,FBgn0011259,Sema1a,Semaphorin 1a,
Dpul_Gene_5880,LOC124198734,uncharacterized protein LOC124198734,0,0,117,39,78,108,144,85,g14394,0,0,0,12,12,13,34,145,87,,,,
Dpul_Gene_5881,LOC124198737,uncharacterized protein LOC124198737,11,4,5,28,75,28,81,72,g14399,139,306,250,83,57,112,108,246,407,,,,
Dpul_Gene_5882,LOC124198746,venom allergen 3-like,1,68,262,1,91,1,2,2,g14388,0,24,50,1,0,0,0,1,1,FBgn0038126,CG8483,0,
Dpul_Gene_5883,LOC124198747,venom allergen 5-like,0,5,314,135,132,2,0,2,g14387,0,3,8,69,20,113,46,10,1,FBgn0038126,CG8483,0,
Dpul_Gene_5884,LOC124198748,protein RRP5 homolog,10474,20617,25194,4325,5243,3322,6728,5864,g679,6263,4556,2739,768,301,254,2391,3832,1831,FBgn0039182,CG5728,0,
Dpul_Gene_5885,LOC124198756,uncharacterized protein LOC124198756 isoform X1,184,2252,7043,4308,16174,1824,2855,871,g678,32,287,375,593,371,853,1533,1896,2875,FBgn0039749,CG11498,0,
Dpul_Gene_5886,LOC124198757,homeobox protein extradenticle-like isoform X1,1913,11543,21107,6798,6727,2413,2370,1322,g14385,4183,10716,11050,7028,5711,3111,5582,3352,2175,FBgn0000611,exd,extradenticle,Homeobox
Dpul_Gene_5887,LOC124198759,rhodanese domain-containing protein CG4456-like,280,882,2791,1655,1958,1170,1081,612,g14384,1800,1859,1912,2474,3771,2140,1286,1291,774,,,,
Dpul_Gene_5888,LOC124198764,bromodomain-containing protein 7-like,2284,9429,14878,3729,3827,2406,1926,1229,g684,2584,3497,2988,1349,1062,511,1617,1322,812,FBgn0031947,CG7154,0,
Dpul_Gene_5889,LOC124198765,early endosome antigen 1-like isoform X2,1199,3553,9549,4344,5590,2083,1749,1416,g14375,710,841,753,608,700,560,1249,974,883,FBgn0051064,CG31064,0,
Dpul_Gene_5890,LOC124198767,uncharacterized protein LOC124198767,11,12,12,34,135,50,104,112,g14380,10,17,15,5,5,20,20,59,70,FBgn0036481,CG16959,0,
Dpul_Gene_5891,LOC124198768,protein CutA homolog,234,598,1508,391,569,299,290,314,g14379,199,228,239,137,146,126,192,215,174,FBgn0030545,CG11590,0,
Dpul_Gene_5892,LOC124198769,uncharacterized protein LOC124198769,3,40,316,192,296,211,186,61,g681,1,37,54,43,84,91,128,107,52,FBgn0030706,Lrp4,LDL receptor related protein 4,
Dpul_Gene_5893,LOC124198770,mediator of RNA polymerase II transcription subunit 8-like,368,946,1620,463,555,153,216,240,g14376,660,555,559,297,220,120,121,145,110,FBgn0034503,MED8,Mediator complex subunit 8,
Dpul_Gene_5894,LOC124198771,uncharacterized protein LOC124198771,0,0,13,7,15,3,27,0,g14373,1,1,0,2,30,18,4,9,2,FBgn0033968,hui,hase und igel,
Dpul_Gene_5895,LOC124198772,male-enhanced antigen 1-like,251,1328,3662,1653,2023,527,434,289,g14378,461,535,550,340,472,397,243,233,138,FBgn0031315,CG14341,0,
Dpul_Gene_5896,LOC124198773,probable 28S ribosomal protein S25%2C mitochondrial,363,1536,4277,1772,2282,357,401,297,g14377,862,996,1122,784,535,620,218,337,182,FBgn0030572,mRpS25,mitochondrial ribosomal protein S25,
Dpul_Gene_5897,LOC124198778,RING finger protein unkempt-like isoform X2,1512,5228,8596,2201,2896,3540,2514,2100,g12735,1362,1630,1398,658,471,325,2763,1491,1314,FBgn0004395,unk,unkempt,
Dpul_Gene_5898,LOC124198779,F-box/LRR-repeat protein 7-like isoform X1,370,2323,4436,2232,2175,871,912,284,g12734,248,774,862,620,872,372,1244,926,460,FBgn0038385,Fbxl7,F-box and leucine-rich repeat protein 7,
Dpul_Gene_5899,LOC124198780,PHD finger-like domain-containing protein 5A,599,1809,2719,406,386,199,315,369,g12736,1624,2397,2135,899,412,145,109,231,119,FBgn0031822,Phf5a,PHD finger protein 5a,
Dpul_Gene_5900,LOC124198781,RNA cytidine acetyltransferase-like,4405,7814,8477,1433,1736,1225,2849,2933,g14449,4996,3883,2463,726,271,189,1646,2420,1101,FBgn0027330,l(1)G0020,lethal (1) G0020,
