CON21 Name,A,B,C,D,E,F,G,H,I,Fly Name (ZQ),Fly Description (ZQ),KAP4 Protein,KAP4 Locus,KAP4 Descritpion,C. elegans,Human,Honeybee,Mouse,Zebrafish,Silkworm,Mosquito,Cluster
g14531,5,5,6,262,392,2096,1160,841,779,Sod3,Superoxide dismutase 3,XP_046449373.1,LOC124197866,uncharacterized protein LOC124197866,,,,,ENSDARP00000064375.4,,,3
g6400,9,4,3,8,108,920,1005,795,2095,Cht4,Chitinase 4,XP_046442779.1,LOC124193146,probable chitinase 10,,,,,ENSDARP00000095389.2,,,14
g24283,225,260,287,219,205,173,2094,1472,1325,CG8312,0,XP_046461829.1,LOC124208151,uncharacterized protein LOC124208151,F52D10.2.1,ENSP00000371397.1,XP_026298951.1,ENSMUSP00000056555.4,ENSDARP00000063149.3,XP_004924463.1,XP_021708803.1,1
g1873,1121,2093,2056,850,635,498,682,594,457,rngo,rings lost,XP_046436999.1,LOC124188418,protein DDI1 homolog 2-like,C01G5.6.1,ENSP00000417748.1,XP_006564745.1,ENSMUSP00000099542.5,ENSDARP00000011673.6,XP_037873508.1,XP_021708966.1,13
g4227,231,288,326,290,177,111,2092,1655,1414,rut,rutabaga,,,,T01C2.1.1,,XP_026298064.1,ENSMUSP00000020706.5,ENSDARP00000128986.1,XP_037869350.1,,1
g20138,2,1,1,57,809,2091,63,441,489,Ca-alpha1D,Ca[2+]-channel protein alpha[[1]] subunit D,XP_046457624.1,LOC124204586,uncharacterized protein LOC124204586 isoform X2,,,,,,,,3
g21053,1537,2090,1958,905,623,392,1002,1007,724,Sap130,Sin3A-associated protein 130,XP_046457106.1,LOC124204139,histone deacetylase complex subunit SAP130-like isoform X1,Y61A9LA.7b.1,ENSP00000494423.1,XP_006561743.1,ENSMUSP00000157127.2,ENSDARP00000154413.1,XP_004932507.1,XP_001652616.2,8
g19217,129,269,239,174,213,2090,99,300,622,,,,,,C04H5.8a.1,,,,,,,3
g11687,0,0,0,275,2087,113,1,3,2,S,Star,XP_046439863.1,LOC124190993,protein Star-like,,,XP_026299932.1,ENSMUSP00000099365.2,,,,11
g22977,2082,1510,1284,731,750,673,574,1049,660,Sac1,Sac1 phosphatase,XP_046456891.1,LOC124203979,phosphatidylinositol-3-phosphatase SAC1-like,F30A10.6.1,ENSP00000500542.2,XP_016767277.1,ENSMUSP00000158880.2,ENSDARP00000077948.4,XP_037873906.1,XP_001658556.1,10
g18100,1634,2082,1838,325,150,161,351,475,365,Hat1,Histone acetyltransferase 1,XP_046454280.1,LOC124202053,histone acetyltransferase type B catalytic subunit-like,M03C11.4.1,ENSP00000264108.4,XP_625126.3,ENSMUSP00000028408.3,ENSDARP00000145266.1,XP_004931327.2,XP_001651817.1,8
g7027,2081,1673,1487,740,559,305,688,851,448,CG6769,0,XP_046442663.1,LOC124193049,zinc finger protein 622-like,C16A3.4.1,ENSP00000310042.2,XP_394767.3,ENSMUSP00000059678.7,ENSDARP00000014151.6,XP_037871504.1,XP_001656735.1,10
g9384,749,1061,1247,1309,1552,2079,1376,1019,556,SdhC,"Succinate dehydrogenase, subunit C",XP_046444939.1,LOC124194690,succinate dehydrogenase cytochrome b560 subunit%2C mitochondrial-like,T07C4.7a.1,ENSP00000356953.3,XP_006564913.1,ENSMUSP00000106968.4,ENSDARP00000155733.1,XP_004932719.1,XP_001653486.1,16
g9269,94,187,139,63,32,472,2078,1384,240,Tdc2,Tyrosine decarboxylase 2,XP_046443980.1,LOC124194015,tyrosine decarboxylase-like isoform X2,,,XP_394424.2,,,,,1
g4225,236,290,325,293,176,110,2077,1663,1417,,,,,,,,,,,,,1
g4226,236,290,325,293,176,110,2077,1663,1417,rut,rutabaga,,,,,,,,,,,1
g14756,2077,2012,1959,1187,1131,744,570,551,382,Rab14,Rab14,XP_046452994.1,LOC124200730,ras-related protein Rab-14,K09A9.2.2,ENSP00000362946.4,XP_397056.2,ENSMUSP00000028238.9,ENSDARP00000106078.2,XP_012548492.1,XP_021702805.1,8
g6155,0,0,0,7,311,403,562,2076,960,,,,,,,,,,,,,1
g1881,1976,2075,1803,782,460,226,952,1172,552,Art3,Arginine methyltransferase 3,XP_046437014.1,LOC124188424,protein arginine N-methyltransferase 3-like,,ENSP00000331879.6,XP_396035.2,ENSMUSP00000032715.7,ENSDARP00000153690.1,XP_004930882.2,XP_021704596.1,10
g6852,1493,2075,2005,1461,1329,1068,1264,1643,927,AP-1mu,"Adaptor Protein complex 1, mu subunit",XP_046441767.1,LOC124192474,AP-1 complex subunit mu-1-like,K11D2.3a.1,ENSP00000291439.2,XP_003249906.1,ENSMUSP00000003117.9,ENSDARP00000137784.1,XP_004923800.1,XP_021705032.1,13
g8712,1820,1759,1532,963,1022,950,2073,1594,1080,ena,enabled,XP_046443256.1,LOC124193469,protein enabled-like isoform X4,,ENSP00000284563.7,XP_016771774.2,ENSMUSP00000106654.3,ENSDARP00000127306.1,XP_021209115.1,XP_021704139.1,5
g21942,5,12,11,17,24,492,2072,1748,1365,CG10211,0,XP_046463016.1,LOC124209169,chorion peroxidase-like,,,,,,,,14
g23120,2,0,0,1,9,35,2072,994,240,tutl,turtle,XP_046458862.1,LOC124205464,uncharacterized protein LOC124205464,,ENSP00000467727.1,,ENSMUSP00000112603.2,ENSDARP00000126756.1,,,1
g16128,2072,1311,1262,619,413,244,465,470,414,,,,,,,,,,,,,8
g12864,1687,2071,1620,331,120,85,344,590,443,neb,nebbish,XP_046447872.1,LOC124196735,kinesin-like protein KIF14,,ENSP00000483069.1,XP_396093.4,ENSMUSP00000044257.7,ENSDARP00000120190.1,,XP_001660806.2,8
g5724,979,2071,1939,1094,720,459,288,574,259,vnc,variable nurse cells,XP_046438731.1,LOC124190203,N-alpha-acetyltransferase daf-31-like,K07H8.3.1,ENSP00000359032.4,XP_016770405.1,ENSMUSP00000094040.4,ENSDARP00000095601.3,XP_004931542.1,XP_021697086.1,13
g1253,494,1157,1147,1220,2071,1368,1927,1430,953,Sap47,Synapse-associated protein 47kD,XP_046448280.1,LOC124197068,BSD domain-containing protein 1-A-like isoform X1,Y97E10AR.6.1,ENSP00000412173.2,,ENSMUSP00000048742.9,ENSDARP00000147667.1,XP_037874006.1,XP_021710130.1,11
g5129,1147,960,884,578,559,399,2027,2071,1790,Rme-8,Receptor mediated endocytosis 8,XP_046439212.1,LOC124190542,dnaJ homolog subfamily C member 13-like,F18C12.2b.1,ENSP00000260818.6,XP_394533.5,ENSMUSP00000035170.7,,XP_012549735.1,XP_021699637.1,14
g20610,2042,2070,1622,561,217,181,471,1769,732,,,XP_046457191.1,LOC124204191,dnaJ homolog subfamily C member 2-like,F38A5.13.1,ENSP00000368565.3,XP_396658.3,ENSMUSP00000030771.6,ENSDARP00000094239.3,NP_001296538.1,XP_021696773.1,5
g6785,1471,2070,1701,580,380,228,339,472,378,mael,maelstrom,XP_046442254.1,LOC124192805,protein maelstrom homolog isoform X1,,,,,ENSDARP00000071442.4,,,8
g17284,192,141,104,142,467,525,2069,1323,761,GluRIA,Glutamate receptor IA,XP_046452212.1,LOC124200132,glutamate receptor 1-like isoform X2,C06E1.4.1,ENSP00000495569.1,XP_006565172.1,ENSMUSP00000066980.8,,XP_012549091.2,XP_021696308.1,4
g5294,2069,1819,1293,337,165,131,759,1085,536,Dbp73D,Dead box protein 73D,XP_046438435.1,LOC124189969,ATP-dependent RNA helicase DDX51-like,ZK686.2.1,ENSP00000380495.3,XP_006569795.3,ENSMUSP00000031478.6,ENSDARP00000029445.4,XP_004932316.1,XP_021698919.1,10
g6713,2068,1808,1494,394,214,204,770,1144,546,,,XP_046441522.1,LOC124192345,dentin sialophosphoprotein-like,,ENSP00000279392.3,XP_006568865.1,ENSMUSP00000035535.4,ENSDARP00000144277.2,XP_037872273.1,XP_001659709.2,10
g22318,1718,2068,1468,415,152,136,939,1320,543,CG12325,0,XP_046459345.1,LOC124205858,periodic tryptophan protein 2 homolog,F55F8.3.1,ENSP00000291576.6,XP_623489.2,ENSMUSP00000045812.10,ENSDARP00000101591.2,XP_037870916.1,XP_021704985.1,5
g26713,0,21,49,113,121,245,2065,1232,793,dpr6,defective proboscis extension response 6,XP_046463450.1,LOC124209492,uncharacterized protein LOC124209492 isoform X1,,,XP_006561928.1,,,XP_037867262.1,,4
g11932,0,0,0,538,2065,813,658,372,294,Pvf2,PDGF- and VEGF-related factor 2,XP_046448269.1,LOC124197059,uncharacterized protein LOC124197059,Y102A5C.32.1,,,,,,,11
g24397,56,118,130,303,532,750,2064,1130,707,sif,still life,XP_046461679.1,LOC124208029,uncharacterized protein LOC124208029 isoform X2,,,,,,,,4
g6791,2062,1394,1032,166,57,55,183,296,267,Mcm10,Minichromosome maintenance 10,XP_046442263.1,LOC124192814,protein MCM10 homolog,Y47D3A.28.1,ENSP00000418268.1,XP_006568348.2,ENSMUSP00000027980.8,ENSDARP00000067338.5,XP_037875274.1,XP_021700846.1,10
g6248,1519,1729,1811,1092,686,692,1383,2062,996,Lon,Lon protease,XP_046441964.1,LOC124192611,lon protease homolog%2C mitochondrial-like isoform X1,C34B2.6.1,ENSP00000468541.1,XP_016768218.1,ENSMUSP00000041814.9,ENSDARP00000134801.1,XP_012544915.1,XP_021704685.1,5
g435,2046,1186,1186,885,1200,1509,2062,1307,1225,slmo,slowmo,XP_046440094.1,LOC124191121,protein slowmo-like,F15D3.6.1,ENSP00000348206.4,XP_624733.1,ENSMUSP00000016401.9,ENSDARP00000020101.6,NP_001037094.1,XP_021703324.1,6
g5841,199,523,497,587,517,583,2060,1776,1781,Oatp74D,Organic anion transporting polypeptide 74D,XP_046440705.1,LOC124191493,solute carrier organic anion transporter family member 74D-like isoform X2,Y32F6B.1.1,,XP_006561855.2,ENSMUSP00000095973.3,ENSDARP00000126538.1,XP_012551161.1,,14
g1311,2060,1228,1132,605,578,430,900,746,549,Socs16D,Suppressor of Cytokine Signaling at 16D,XP_046449064.1,LOC124197590,suppressor of cytokine signaling 6-like,Y37E11AM.3b.1,ENSP00000494352.1,XP_392423.2,ENSMUSP00000010049.5,ENSDARP00000009670.8,XP_004932635.1,XP_001657877.2,10
g18937,211,290,247,375,996,542,2057,1671,702,FucTA,"alpha1,3-fucosyltransferase A",XP_046455406.1,LOC124202930,glycoprotein 3-alpha-L-fucosyltransferase A-like,K08F8.3.2,ENSP00000286955.5,XP_026295877.1,ENSMUSP00000039985.6,ENSDARP00000149323.1,XP_021207104.1,XP_001661902.2,1
g7180,1013,1208,953,464,364,239,1859,2056,1231,vir,virilizer,XP_046441476.1,LOC124192305,protein virilizer homolog,D1086.9.1,ENSP00000297591.5,XP_395082.4,ENSMUSP00000058078.7,ENSDARP00000115495.1,XP_004924183.1,XP_001660468.2,1
g5674,1503,2056,1664,751,482,401,724,818,480,DCP1,Decapping protein 1,,,,Y55F3AM.12.1,ENSP00000280665.6,XP_391963.3,ENSMUSP00000073568.6,ENSDARP00000112637.1,XP_004925168.1,XP_001658183.2,8
g5486,2051,1134,416,123,84,606,1128,985,983,santa-maria,scavenger receptor acting in neural tissue and majority of rhodopsin is absent,XP_046440308.1,LOC124191253,protein croquemort-like isoform X1,,ENSP00000442862.1,XP_006567283.1,,ENSDARP00000131702.2,NP_001164650.1,XP_021709734.1,6
g376,0,1,3,7,42,2051,109,1130,777,CG4982,0,XP_046438902.1,LOC124190318,keratin-associated protein 19-2-like,,,,,,,,3
g6168,1096,1929,2050,1290,1187,747,373,568,371,Srp14,Signal recognition particle 14,XP_046442500.1,LOC124192947,signal recognition particle 14 kDa protein-like,F25G6.8.1,ENSP00000267884.6,XP_624701.1,ENSMUSP00000009693.9,ENSDARP00000155387.1,NP_001091775.1,XP_001658168.2,13
g9971,2050,1034,824,383,280,267,823,686,801,CG1239,0,XP_046444679.1,LOC124194503,probable RNA methyltransferase Y17G7B.18,Y17G7B.18a.1,ENSP00000308546.2,XP_026299377.1,ENSMUSP00000031740.10,ENSDARP00000051906.7,XP_004930468.1,XP_001652233.2,10
g20403,2049,1818,1367,449,269,178,749,1186,594,,,,,,,,,,,,,8
g9513,119,129,120,153,374,473,2049,1626,1939,unc79,uncoordinated 79,XP_046443816.1,LOC124193873,protein unc-79 homolog isoform X1,E03A3.6a.1,ENSP00000450868.1,XP_026296591.1,ENSMUSP00000136888.2,ENSDARP00000148420.1,XP_021209200.1,XP_021706441.1,2
g22213,900,2045,2023,1041,805,447,878,831,630,Ada2b,transcriptional Adaptor 2b,XP_046459606.1,LOC124206034,transcriptional adapter 2-beta-like,F32A5.1a.1,ENSP00000308022.6,XP_006557964.1,ENSMUSP00000031097.8,ENSDARP00000012853.6,XP_012544448.1,XP_021694314.1,13
g9610,4,2,2,4,25,2043,489,1004,457,,,,,,,,,,,,,3
g12902,907,1757,1508,991,1181,757,1180,2042,915,CG6230,0,XP_046450275.1,LOC124198472,endoplasmic reticulum transmembrane helix translocase-like,C10C6.6.1,ENSP00000349877.6,XP_396194.3,ENSMUSP00000034326.7,ENSDARP00000058957.5,XP_004929216.2,XP_001654560.1,7
g23556,0,1,2,4,85,177,2041,1013,229,,,,,,,,,,,,,1
g6358,2039,1102,804,245,123,104,392,530,351,CG6388,0,XP_046441270.1,LOC124192135,tRNA (guanine(26)-N(2))-dimethyltransferase-like,ZC376.5.2,ENSP00000466967.1,XP_006561085.2,ENSMUSP00000105390.3,ENSDARP00000111075.1,XP_037874437.1,XP_001654461.1,10
g17111,1048,2039,1683,597,360,158,724,994,650,CG15283,0,,,,,,,,,,,5
g6925,1972,1666,1230,720,882,563,1124,1977,2039,AdenoK,Adenosine Kinase,XP_046441514.1,LOC124192337,adenosine kinase-like isoform X2,R07H5.8.1,ENSP00000361819.3,XP_391988.2,ENSMUSP00000047665.10,ENSDARP00000134061.1,NP_001040165.1,XP_001652432.2,2
g10462,89,101,118,166,176,511,912,2038,643,cu,curled,XP_046447617.1,LOC124196533,nocturnin-like isoform X1,,ENSP00000280614.2,,ENSMUSP00000141416.2,ENSDARP00000099045.4,,XP_021701474.1,1
g671,1829,2037,1815,783,435,275,245,482,264,Uch-L5,Ubiquitin carboxy-terminal hydrolase L5,XP_046450932.1,LOC124199191,ubiquitin carboxyl-terminal hydrolase isozyme L5-like,C08B11.7.2,ENSP00000356424.1,XP_397252.2,ENSMUSP00000018333.8,ENSDARP00000149942.1,XP_037866620.1,XP_011493570.1,8
g5373,1115,755,849,1173,1356,2035,1719,1477,895,CG10932,0,XP_046438540.1,LOC124190060,acetyl-CoA acetyltransferase B%2C mitochondrial-like,T02G5.8.1,ENSP00000265838.4,XP_026302058.1,ENSMUSP00000034547.6,ENSDARP00000133230.2,NP_001093296.1,XP_001657918.2,4
g23630,2,1,1,2,29,10,12,8,2033,,,,,,,,,,,,,2
g3051,2032,1382,1286,659,479,312,445,448,461,CG6843,0,,,,,,,,,,,10
g10408,2032,2001,1624,472,265,157,264,361,229,CG11964,0,XP_046447640.1,LOC124196546,beta-catenin-like protein 1,M01E11.2.1,ENSP00000355050.6,XP_393169.1,ENSMUSP00000029178.7,ENSDARP00000136166.2,XP_004924669.2,XP_001656979.1,10
g500,771,698,608,447,543,972,2032,1388,1165,BTBD9,BTB (POZ) domain containing 9,XP_046452749.1,LOC124200521,BTB/POZ domain-containing protein 9-like isoform X1,C05C8.6.1,ENSP00000497066.1,XP_395842.2,ENSMUSP00000157719.2,ENSDARP00000090762.4,XP_012552738.2,XP_021695141.1,1
g24518,1289,2031,1701,491,258,160,429,402,284,TH1,TH1,XP_046461488.1,LOC124207896,negative elongation factor D-like,,ENSP00000499018.1,XP_026295848.1,ENSMUSP00000104703.2,ENSDARP00000021861.6,XP_021206201.1,XP_021699204.1,8
g24767,1944,1942,2029,1543,1161,1066,411,845,473,mge,maggie,XP_046461205.1,LOC124207681,mitochondrial import receptor subunit TOM22 homolog,W10D9.5a.1,ENSP00000216034.4,XP_393007.1,ENSMUSP00000023062.4,ENSDARP00000149580.1,XP_021207558.1,XP_021696955.1,8
g11273,1,0,0,1,5,438,150,2028,1480,,,XP_046447528.1,LOC124196463,cuticle protein 3-like isoform X1,,,,,,,,14
g22953,183,112,86,1438,186,737,1303,1171,2027,jv,javelin,XP_046456889.1,LOC124203977,flocculation protein FLO11-like isoform X2,,,XP_026299274.1,,,XP_021207464.2,XP_021697044.1,1
g20381,1066,1740,2026,1409,1175,966,439,469,306,robl,roadblock,XP_046457974.1,LOC124204806,dynein light chain roadblock-type 2-like,T24H10.6.1,ENSP00000302936.6,XP_016767143.1,ENSMUSP00000077301.6,ENSDARP00000126404.1,XP_004926157.1,XP_001650782.1,12
g16950,1345,2021,2026,1433,687,905,739,1767,692,Trap1,Trap1,XP_046452460.1,LOC124200308,heat shock protein 75 kDa%2C mitochondrial-like,R151.7.1,ENSP00000442070.1,XP_623366.2,ENSMUSP00000006137.9,ENSDARP00000147554.1,NP_001266361.1,XP_001654758.1,6
g19933,0,0,0,52,125,263,2025,1244,1101,,,,,,,ENSP00000254960.5,XP_006560383.2,ENSMUSP00000028964.8,ENSDARP00000078154.4,XP_004931070.1,XP_021702788.1,1
g26968,2025,1932,1526,572,397,267,465,890,718,mbo,members only,XP_046462866.1,LOC124209047,nuclear pore complex protein Nup88-like,ZK177.4.3,ENSP00000515036.1,XP_001122083.2,ENSMUSP00000104170.2,ENSDARP00000025718.7,XP_037872438.1,XP_021710032.1,10
g6340,1154,1753,1473,892,839,1349,2024,1943,1751,CG1317,0,XP_046441490.1,LOC124192319,E3 ubiquitin-protein ligase MARCHF6-like isoform X3,F55A3.1.1,ENSP00000274140.4,NP_001229387.1,ENSMUSP00000087694.5,ENSDARP00000117758.1,XP_012551595.1,XP_021696406.1,1
g5744,1384,2022,1508,626,343,235,799,1341,631,Dis3,Dis3,XP_046440611.1,LOC124191447,exosome complex exonuclease RRP44-like,C04G2.6.1,ENSP00000366997.4,XP_397381.4,ENSMUSP00000041906.10,ENSDARP00000148637.1,XP_037869018.1,XP_001655640.2,5
g15922,0,6,16,123,186,1582,2022,1321,1276,CG5955,0,XP_046451175.1,LOC124199413,L-threonine 3-dehydrogenase%2C mitochondrial-like,F08F3.4.1,,XP_393912.3,ENSMUSP00000022522.9,ENSDARP00000114681.1,NP_001037542.1,XP_001656812.2,4
g1734,921,608,583,355,459,366,2022,612,738,HERC2,HECT and RLD domain containing protein 2,XP_046453716.1,LOC124201486,RCC1 and BTB domain-containing protein 1-like isoform X1,,ENSP00000367552.2,XP_006570411.1,ENSMUSP00000022551.8,ENSDARP00000108621.2,,,1
g17853,124,158,188,368,501,279,2021,1426,733,,,,,,,,,,,,,1
g26121,305,448,408,224,248,256,2019,1482,1057,Hml,Hemolectin,XP_046462606.1,LOC124208777,WD repeat-containing protein 47-like,K06A5.8a.1,,,,,,,1
g14750,3,7,12,363,254,2018,1616,791,1744,mesh,mesh,XP_046452981.1,LOC124200722,protein mesh-like isoform X1,K03H1.5.1,ENSP00000351075.3,XP_392408.3,ENSMUSP00000093197.4,ENSDARP00000141875.2,XP_004925419.1,XP_021696241.1,14
g17855,114,154,184,363,497,277,2018,1423,728,,,,,,,ENSP00000455747.1,,,,,,4
g18652,1253,2018,1796,816,751,487,1201,1089,1094,MED27,Mediator complex subunit 27,,,,R09F10.3.1,ENSP00000292035.5,XP_396939.2,ENSMUSP00000028139.5,ENSDARP00000005238.7,XP_004923877.1,XP_001652785.1,5
g1892,43,25,15,203,343,610,1876,2018,916,Tg,Transglutaminase,XP_046437026.1,LOC124188438,hemocyte protein-glutamine gamma-glutamyltransferase-like,,ENSP00000206765.6,XP_026297227.1,ENSMUSP00000128090.2,,XP_037873667.1,,4
g27047,285,360,368,401,552,573,2018,1510,1309,Myo31DF,Myosin 31DF,XP_046464285.1,LOC124210040,unconventional myosin-Id-like isoform X1,T02C12.1.2,ENSP00000324527.5,XP_624678.1,ENSMUSP00000037819.8,ENSDARP00000067761.5,XP_037868251.1,XP_021701117.1,14
g2268,2017,1847,1383,370,124,94,391,686,247,CG8414,0,XP_046460525.1,LOC124207209,polynucleotide 5'-hydroxyl-kinase nol9-like,K09B11.2a.1,ENSP00000366934.5,XP_006568808.2,ENSMUSP00000081133.7,ENSDARP00000145169.1,XP_037873720.1,XP_021699172.1,10
g10616,1824,2017,1795,805,572,190,455,743,403,nero,nero,XP_046446377.1,LOC124195822,deoxyhypusine hydroxylase-like,C14A4.1.1,ENSP00000398882.1,XP_006558637.1,ENSMUSP00000072534.7,ENSDARP00000147507.1,NP_001128388.1,XP_001657523.1,8
g25390,2016,1510,1355,559,467,308,829,812,583,Poc1,Proteome of centrioles 1,XP_046463258.1,LOC124209358,protein-associating with the carboxyl-terminal domain of ezrin-like,,ENSP00000296484.2,XP_001123124.3,ENSMUSP00000072064.7,ENSDARP00000026057.8,XP_021204858.1,XP_021706769.1,10
g4963,1869,2015,1675,867,970,532,421,451,242,Cyp317a1,Cyp317a1,XP_046438958.1,LOC124190372,synaptophysin-like,F42G8.11.1,ENSP00000418169.1,,ENSMUSP00000069429.5,ENSDARP00000140090.1,,,8
g11425,286,692,676,515,473,516,2013,1511,1866,SCAR,SCAR,XP_046447101.1,LOC124196242,uncharacterized protein LOC124196242 isoform X1,,,,,,,,1
g24366,2010,1827,1588,768,547,469,505,529,530,,,XP_046461731.1,LOC124208068,serine/threonine-protein kinase/endoribonuclease IRE1-like,ZK1010.3.1,ENSP00000226798.4,XP_625206.1,ENSMUSP00000033999.7,ENSDARP00000143283.1,XP_004925472.2,XP_001652245.1,10
g420,1099,1822,2010,1548,1719,774,479,1244,467,shv,shriveled,XP_046439712.1,LOC124190872,dnaJ homolog shv-like,T15H9.7a.1,ENSP00000265028.3,XP_006569897.2,ENSMUSP00000137542.2,ENSDARP00000107433.2,NP_001157381.1,XP_001660492.2,9
g17228,541,1035,1035,772,783,464,2010,1438,1205,in,inturned,XP_046452299.1,LOC124200193,protein inturned-like isoform X1,F26D11.11c.1,ENSP00000334003.5,XP_003251640.1,ENSMUSP00000088725.4,ENSDARP00000142182.1,XP_004921772.2,XP_021699821.1,7
g14459,767,972,779,593,858,854,2009,1535,1151,CG12512,0,XP_046447837.1,LOC124196710,medium-chain acyl-CoA ligase ACSF2%2C mitochondrial-like,,,,,,,,1
g7569,2008,1656,1498,781,719,871,1005,908,731,CG10907,0,XP_046441302.1,LOC124192162,spliceosome-associated protein CWC27 homolog,Y17G7B.9.1,ENSP00000370460.2,XP_006561135.1,ENSMUSP00000022228.7,ENSDARP00000064209.3,XP_004933268.1,XP_001659892.2,10
g6959,2007,1842,1204,357,261,149,1045,1092,805,dpy,dumpy,XP_046442535.1,LOC124192966,serine/arginine repetitive matrix protein 2-like,,,,ENSMUSP00000038188.5,,,,5
g23925,740,1620,2006,582,77,38,64,104,110,CG9101,0,XP_046460535.1,LOC124207221,uncharacterized protein LOC124207221,,,XP_016768897.1,,,XP_021208386.1,,13
g23629,2,1,1,2,30,10,12,8,2005,,,,,,,,,,,,,14
g23979,239,268,326,835,1167,470,2004,1285,862,CLIP-190,Cytoplasmic linker protein 190,XP_046460855.1,LOC124207447,CAP-Gly domain-containing linker protein 4-like isoform X2,F53F4.3.1,ENSP00000510497.1,,ENSMUSP00000014065.9,ENSDARP00000071119.3,,XP_021702015.1,1
g3629,254,253,275,393,657,1031,2002,1348,1122,CG4752,0,XP_046464030.1,LOC124209843,5-oxoprolinase-like,Y38F2AR.12a.1,ENSP00000480476.1,XP_006567330.1,ENSMUSP00000023222.7,ENSDARP00000066358.5,XP_012550758.2,XP_001648674.1,4
g21907,1615,1253,1011,514,439,401,1999,1990,1629,CG8569,0,XP_046459656.1,LOC124206069,uncharacterized protein LOC124206069,T05F1.6.1,ENSP00000393497.2,XP_003250928.2,ENSMUSP00000106277.2,ENSDARP00000101125.2,XP_012548826.2,XP_021705982.1,1
g16693,669,660,838,1052,1999,790,383,938,555,sel,seele,XP_046451275.1,LOC124199497,protein seele-like,F01F1.15.1,ENSP00000273308.4,XP_016773517.2,ENSMUSP00000026446.3,ENSDARP00000056064.5,XP_021202880.1,XP_001663197.2,11
g24503,527,291,221,180,196,285,1999,1510,1229,CG8485,0,XP_046461501.1,LOC124207910,serine/threonine-protein kinase MARK2-like isoform X1,ZK524.4.1,ENSP00000296088.7,,ENSMUSP00000112919.2,ENSDARP00000095098.3,XP_037869834.1,XP_001664275.2,4
g2461,1455,1902,1999,1738,1874,838,385,644,214,epsilonCOP,Coat Protein (coatomer) epsilon,XP_046462035.1,LOC124208303,coatomer subunit epsilon-like,F45G2.4.1,ENSP00000262812.3,XP_016770426.1,ENSMUSP00000071078.8,ENSDARP00000008262.6,NP_001166195.1,XP_021698114.1,12
g10435,3,11,10,19,64,501,1999,1433,318,CG16959,0,XP_046447355.1,LOC124196366,uncharacterized protein LOC124196366,,,,,,,,1
g8691,1998,1512,1142,405,215,159,283,466,262,CG18600,0,XP_046443231.1,LOC124193460,DNA-directed RNA polymerase I subunit RPA49-like,,ENSP00000367023.3,XP_623635.3,ENSMUSP00000059941.9,,XP_004922182.1,XP_021694575.1,10
g9037,844,1359,1143,751,604,840,1997,1872,927,Mad,Mothers against dpp,XP_046443092.1,LOC124193363,mothers against decapentaplegic homolog 3-like,ZK370.2a.2,ENSP00000332973.4,XP_396056.5,ENSMUSP00000034973.4,ENSDARP00000152734.1,XP_004933309.2,XP_001659425.2,1
g397,1878,1996,1752,669,358,279,490,605,492,Su(z)12,Su(z)12,XP_046439295.1,LOC124190580,polycomb protein SUZ12-like,,ENSP00000316578.5,XP_026298881.1,ENSMUSP00000017692.9,ENSDARP00000130332.1,XP_012550519.1,XP_021707582.1,10
g5802,1996,1341,1162,503,333,221,310,347,307,cbc,crowded by cid,XP_046440198.1,LOC124191188,protein CLP1 homolog,F59A2.4a.1,ENSP00000433406.1,XP_623706.1,ENSMUSP00000129300.2,ENSDARP00000087664.3,XP_004923397.1,XP_001659890.2,10
g6912,1996,1162,1162,1215,982,845,1575,1195,936,ReepA,Receptor expression enhancing protein A,XP_046441424.1,LOC124192254,receptor expression-enhancing protein 2-like isoform X3,T19C3.4.1,ENSP00000367590.2,XP_026297376.1,ENSMUSP00000036065.8,ENSDARP00000123784.1,XP_012551357.1,XP_021710717.1,6
g24618,0,0,0,1,17,506,532,1995,508,RNaseZ,Ribonuclease Z,XP_046461380.1,LOC124207800,uncharacterized protein LOC124207800,,,,,ENSDARP00000134898.1,,,1
g22812,53,62,39,33,32,77,1993,1394,863,,,,,,,,,,,,,4
g2703,1993,1090,1035,494,432,258,385,358,307,Ing5,Inhibitor of growth family member 5,XP_046464401.1,LOC124210401,inhibitor of growth protein 4-like,,ENSP00000415903.2,XP_006559576.1,ENSMUSP00000121519.2,ENSDARP00000141310.1,XP_004926299.1,XP_001650123.1,10
g4217,1108,1993,1763,641,422,327,1085,708,604,mof,males absent on the first,XP_046439851.1,LOC124190988,histone acetyltransferase KAT8-like,K03D10.3b.1,ENSP00000219797.3,XP_625075.1,ENSMUSP00000033070.8,ENSDARP00000155175.1,NP_001093305.1,XP_001658578.2,5
g23846,951,1274,1129,745,768,807,1993,1100,494,pyd,polychaetoid,XP_046460654.1,LOC124207304,syntenin-1-like,,ENSP00000411771.2,XP_006557898.1,ENSMUSP00000100073.6,ENSDARP00000147374.1,NP_001040345.1,XP_001650813.1,7
g542,1,0,1,5,243,1993,79,5,0,,,,,,,,,,,,,3
g414,1992,1911,1781,569,394,274,407,572,409,His2B:CG33908,His2B:CG33908,XP_046439619.1,LOC124190807,cellular tumor antigen p53-like,,ENSP00000376254.3,XP_016772359.1,ENSMUSP00000110959.2,ENSDARP00000106582.2,NP_001170881.1,XP_021694036.1,8
g9377,0,1,1,1,1,1992,173,1542,353,,,XP_046444929.1,LOC124194683,protein suex-1-like,,,,,,,,3
